hidden,lr,epochs,patience,cv_acc
25,0.001,50,5,0.8520108069802463
25,0.001,50,10,0.8520108069802463
25,0.001,50,15,0.8520108069802463
25,0.001,100,5,0.8670962884223581
25,0.001,100,10,0.8670962884223581
25,0.001,100,15,0.8670962884223581
25,0.001,150,5,0.8708610151474886
25,0.001,150,10,0.8708610151474886
25,0.001,150,15,0.8708610151474886
25,0.01,50,5,0.8812162281867305
25,0.01,50,10,0.8812162281867305
25,0.01,50,15,0.8812162281867305
25,0.01,100,5,0.8812162281867305
25,0.01,100,10,0.8812162281867305
25,0.01,100,15,0.8812162281867305
25,0.01,150,5,0.8793294357339002
25,0.01,150,10,0.8793294357339002
25,0.01,150,15,0.8793294357339002
25,0.05,50,5,0.8651962086987333
25,0.05,50,10,0.8642528124723181
25,0.05,50,15,0.8642528124723181
25,0.05,100,5,0.8651962086987333
25,0.05,100,10,0.8633094162459031
25,0.05,100,15,0.8633094162459031
25,0.05,150,5,0.8651962086987333
25,0.05,150,10,0.8633094162459031
25,0.05,150,15,0.8633094162459031
25,0.1,50,5,0.8256134290016831
25,0.1,50,10,0.8293870139073434
25,0.1,50,15,0.8293870139073434
25,0.1,100,5,0.8256134290016831
25,0.1,100,10,0.8293870139073434
25,0.1,100,15,0.8293870139073434
25,0.1,150,5,0.8256134290016831
25,0.1,150,10,0.8293870139073434
25,0.1,150,15,0.8293870139073434
50,0.001,50,5,0.8708477278766941
50,0.001,50,10,0.8708477278766941
50,0.001,50,15,0.8708477278766941
50,0.001,100,5,0.8831118788200903
50,0.001,100,10,0.8831118788200903
50,0.001,100,15,0.8831118788200903
50,0.001,150,5,0.8821640535034103
50,0.001,150,10,0.8821640535034103
50,0.001,150,15,0.8821640535034103
50,0.01,50,5,0.892523695632917
50,0.01,50,10,0.891580299406502
50,0.01,50,15,0.8906369031800869
50,0.01,100,5,0.8934670918593322
50,0.01,100,10,0.892523695632917
50,0.01,100,15,0.892523695632917
50,0.01,150,5,0.8934670918593322
50,0.01,150,10,0.892523695632917
50,0.01,150,15,0.892523695632917
50,0.05,50,5,0.8802816901408452
50,0.05,50,10,0.8831118788200903
50,0.05,50,15,0.8878022854105767
50,0.05,100,5,0.8802816901408452
50,0.05,100,10,0.8831118788200903
50,0.05,100,15,0.8868633182744265
50,0.05,150,5,0.8802816901408452
50,0.05,150,10,0.8849986712729206
50,0.05,150,15,0.8887501107272566
50,0.1,50,5,0.7822836389405616
50,0.1,50,10,0.7888874125254672
50,0.1,50,15,0.8067765081052352
50,0.1,100,5,0.7822836389405616
50,0.1,100,10,0.7888874125254672
50,0.1,100,15,0.8143236779165559
50,0.1,150,5,0.7822836389405616
50,0.1,150,10,0.7888874125254672
50,0.1,150,15,0.8143236779165559
75,0.001,50,5,0.8652227832403225
75,0.001,50,10,0.8652227832403225
75,0.001,50,15,0.8652227832403225
75,0.001,100,5,0.8755957126406235
75,0.001,100,10,0.8755957126406235
75,0.001,100,15,0.8755957126406235
75,0.001,150,5,0.8793560102754894
75,0.001,150,10,0.8793560102754894
75,0.001,150,15,0.8793560102754894
75,0.01,50,5,0.8915802994065019
75,0.01,50,10,0.8915802994065019
75,0.01,50,15,0.8915802994065019
75,0.01,100,5,0.8906324740898219
75,0.01,100,10,0.8915758703162371
75,0.01,100,15,0.8925192665426522
75,0.01,150,5,0.8906324740898219
75,0.01,150,10,0.8925192665426522
75,0.01,150,15,0.8934626627690673
75,0.05,50,5,0.8746523164142085
75,0.05,50,10,0.8784037558685446
75,0.05,50,15,0.8774603596421295
75,0.05,100,5,0.8746523164142085
75,0.05,100,10,0.8812339445477899
75,0.05,100,15,0.8812339445477899
75,0.05,150,5,0.8746523164142085
75,0.05,150,10,0.8821773407742051
75,0.05,150,15,0.8821773407742051
75,0.1,50,5,0.4504473381167508
75,0.1,50,10,0.6050004429090265
75,0.1,50,15,0.6210381787580831
75,0.1,100,5,0.4504473381167508
75,0.1,100,10,0.6077996279564177
75,0.1,100,15,0.6370449109752856
75,0.1,150,5,0.4504473381167508
75,0.1,150,10,0.6077996279564177
75,0.1,150,15,0.6370449109752856
100,0.001,50,5,0.8896935069536717
100,0.001,50,10,0.8896935069536717
100,0.001,50,15,0.8896935069536717
100,0.001,100,5,0.8981796439011427
100,0.001,100,10,0.8981796439011427
100,0.001,100,15,0.8981796439011427
100,0.001,150,5,0.8991230401275578
100,0.001,150,10,0.8991230401275578
100,0.001,150,15,0.8991230401275578
100,0.01,50,5,0.8972451058552574
100,0.01,50,10,0.8981885020816727
100,0.01,50,15,0.8981885020816727
100,0.01,100,5,0.8991274692178226
100,0.01,100,10,0.901957657897068
100,0.01,100,15,0.901957657897068
100,0.01,150,5,0.9000664363539729
100,0.01,150,10,0.9028966250332182
100,0.01,150,15,0.9028966250332182
100,0.05,50,5,0.8491407564886172
100,0.05,50,10,0.8623527327486933
100,0.05,50,15,0.8614093365222782
100,0.05,100,5,0.8510275489414475
100,0.05,100,10,0.867060855700239
100,0.05,100,15,0.8689476481530694
100,0.05,150,5,0.8510275489414475
100,0.05,150,10,0.867060855700239
100,0.05,150,15,0.8680042519266543
100,0.1,50,5,0.31091770750287895
100,0.1,50,10,0.36842501550181594
100,0.1,50,15,0.3778589777659669
100,0.1,100,5,0.31091770750287895
100,0.1,100,10,0.37687571972716805
100,0.1,100,15,0.39574364425546993
100,0.1,150,5,0.31091770750287895
100,0.1,150,10,0.37687571972716805
100,0.1,150,15,0.39197005934980955
